request_id;created_date;closed_date;source_department;product_area;request_type;priority;status;subject;description;assigned_team_member;resolution_time_hours;sla_hours;sla_breached;reopened;client_satisfaction
REQ-1001;03-05-2026;;Sales;analytics;консультация;low;in_progress;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Дмитрий;86.4;64;yes;no;
REQ-1002;16-04-2026;18-04-2026;Compliance;reporting;ошибка в данных;low;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;43.3;72;no;no;2
REQ-1003;2026-04-16;;Штаб;limits;запрос на изменение;medium;in_progress;Изменить лимит по операции;Требуется изменение бизнес-правила по лимитам. Запрос связан с новым процессом согласования, impact нужно оценить до следующего спринта.;Ольга;;120;no;no;
REQ-1004;2026-05-09 15:00:00;09.05.2026 16:36;Операционный блок;access_control;доступ/роль;medium;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Дмитрий;1.6;24;no;no;4
REQ-1005;2026-04-12 12:00:00;2026-04-13 01:36:00;Продажи;client_profile;доступ/роль;high;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;;13.6;8;yes;no;3
REQ-1006;2026/04/22;2026-04-24;Финансы;client_profile;доступ/роль;low;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Сергей;47.8;48;no;no;
REQ-1007;28.04.2026;2026-05-02 14:33:00;Risk Department;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Екатерина;96.3;72;yes;no;5
REQ-1008;12-04-2026;;Финансы;payments;инцидент;medium;in_progress;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;Дмитрий;;24;no;no;
REQ-1009;26-04-2026;2026/04/26;Operations;integration;инцидент;critical;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;10.4;4;yes;no;4
REQ-1010;08.05.2026 13:15;08.05.2026 23:15;Продажи;reporting;ошибка в данных;critical;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;10.0;8;yes;no;
REQ-1011;25-04-2026;2026/04/27;Compliance;reporting;ошибка в данных;medium;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Дмитрий;41.1;36;yes;no;3
REQ-1012;2026-04-27 11:15:00;27.04.2026 23:21;Штаб;reporting;выгрузка данных;critical;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Николай;12.1;12;yes;yes;
REQ-1013;2026-04-22;22.04.2026;Операционный блок;client_profile;доступ/роль;high;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Иван;5.3;8;no;no;4
REQ-1014;12.04.2026;;Продажи;analytics;консультация;low;new;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Иван;;64;no;no;
REQ-1015;17-04-2026;;Финансы;integration;инцидент;medium;in_progress;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;;24;no;no;
